序号,电影名,评分,推荐语,链接
88,阿凡达,8.7,https://movie.douban.com/subject/1652587/
89,摩登时代,9.3,https://movie.douban.com/subject/1294371/
90,剪刀手爱德华,8.7,https://movie.douban.com/subject/1292370/
91,勇敢的心,8.9,https://movie.douban.com/subject/1294639/
92,天使爱美丽,8.7,https://movie.douban.com/subject/1292215/
93,喜剧之王,8.7,https://movie.douban.com/subject/1302425/
94,致命ID,8.8,https://movie.douban.com/subject/1297192/
95,加勒比海盗,8.8,https://movie.douban.com/subject/1298070/
96,断背山,8.8,https://movie.douban.com/subject/1418834/
97,哈利·波特与死亡圣器(下),8.8,https://movie.douban.com/subject/3011235/
98,杀人回忆,8.8,https://movie.douban.com/subject/1300299/
99,狩猎,9.1,https://movie.douban.com/subject/6985810/
100,请以你的名字呼唤我,8.9,https://movie.douban.com/subject/26799731/
101,幽灵公主,8.9,https://movie.douban.com/subject/1297359/
102,阳光灿烂的日子,8.8,https://movie.douban.com/subject/1291875/
103,小森林 夏秋篇,9.0,https://movie.douban.com/subject/25814705/
104,重庆森林,8.7,https://movie.douban.com/subject/1291999/
105,入殓师,8.8,https://movie.douban.com/subject/2149806/
106,第六感,8.9,https://movie.douban.com/subject/1297630/
107,7号房的礼物,8.9,https://movie.douban.com/subject/10777687/
108,红辣椒,9.0,https://movie.douban.com/subject/1865703/
109,消失的爱人,8.7,https://movie.douban.com/subject/21318488/
110,小森林 冬春篇,9.0,https://movie.douban.com/subject/25814707/
111,爱在黎明破晓前,8.8,https://movie.douban.com/subject/1296339/
112,一一,9.0,https://movie.douban.com/subject/1292434/
113,侧耳倾听,8.9,https://movie.douban.com/subject/1297052/
114,唐伯虎点秋香,8.6,https://movie.douban.com/subject/1306249/
115,超脱,8.9,https://movie.douban.com/subject/5322596/
116,玛丽和马克思,8.9,https://movie.douban.com/subject/3072124/
117,倩女幽魂,8.7,https://movie.douban.com/subject/1297447/
118,蝙蝠侠：黑暗骑士崛起,8.8,https://movie.douban.com/subject/3395373/
119,告白,8.7,https://movie.douban.com/subject/4268598/
120,甜蜜蜜,8.8,https://movie.douban.com/subject/1305164/
121,大鱼,8.8,https://movie.douban.com/subject/1291545/
122,阳光姐妹淘,8.8,https://movie.douban.com/subject/4917726/
123,无人知晓,9.1,https://movie.douban.com/subject/1292337/
124,萤火之森,8.9,https://movie.douban.com/subject/5989818/
125,射雕英雄传之东成西就,8.7,https://movie.douban.com/subject/1316510/
126,驯龙高手,8.7,https://movie.douban.com/subject/2353023/
127,超能陆战队,8.7,https://movie.douban.com/subject/11026735/
128,借东西的小人阿莉埃蒂,8.8,https://movie.douban.com/subject/4202302/
129,幸福终点站,8.8,https://movie.douban.com/subject/1292274/
130,菊次郎的夏天,8.8,https://movie.douban.com/subject/1293359/
131,爱在日落黄昏时,8.8,https://movie.douban.com/subject/1291990/
132,恐怖直播,8.8,https://movie.douban.com/subject/21360417/
133,完美的世界,9.1,https://movie.douban.com/subject/1300992/
134,神偷奶爸,8.6,https://movie.douban.com/subject/3287562/
135,怪兽电力公司,8.7,https://movie.douban.com/subject/1291579/
136,功夫,8.6,https://movie.douban.com/subject/1291543/
137,人生果实,9.5,https://movie.douban.com/subject/26874505/
138,玩具总动员3,8.8,https://movie.douban.com/subject/1858711/
139,傲慢与偏见,8.6,https://movie.douban.com/subject/1418200/
140,血战钢锯岭,8.7,https://movie.douban.com/subject/26325320/
141,风之谷,8.9,https://movie.douban.com/subject/1291585/
142,天书奇谭,9.2,https://movie.douban.com/subject/1428581/
143,时空恋旅人,8.7,https://movie.douban.com/subject/10577869/
144,教父3,8.9,https://movie.douban.com/subject/1294240/
145,上帝之城,8.9,https://movie.douban.com/subject/1292208/
146,电锯惊魂,8.7,https://movie.douban.com/subject/1417598/
147,喜宴,8.9,https://movie.douban.com/subject/1303037/
148,被解救的姜戈,8.7,https://movie.douban.com/subject/6307447/
149,英雄本色,8.7,https://movie.douban.com/subject/1297574/
150,哪吒闹海,9.1,https://movie.douban.com/subject/1307315/
151,七武士,9.2,https://movie.douban.com/subject/1295399/
152,谍影重重3,8.8,https://movie.douban.com/subject/1578507/
153,岁月神偷,8.7,https://movie.douban.com/subject/3792799/
154,我是山姆,8.9,https://movie.douban.com/subject/1306861/
155,釜山行,8.5,https://movie.douban.com/subject/25986180/
156,头号玩家,8.7,https://movie.douban.com/subject/4920389/
157,纵横四海,8.8,https://movie.douban.com/subject/1295409/
